,date,dB,something,ping,upload,download,jitter
256,2022-10-12 14:00:01,-30.6,12.9,701.55,25.12,37.31,7.49
257,2022-10-12 14:05:01,-30.6,12.7,699.82,15.84,31.78,7.34
258,2022-10-12 14:10:01,-30.9,12.7,709.91,10.43,38.18,6.92
259,2022-10-12 14:15:01,-30.7,12.6,952.55,193.02,28.65,1.29
260,2022-10-12 14:20:01,-30.6,12.6,701.82,5.91,32.49,6.77
261,2022-10-12 14:25:01,-30.6,13.0,697.55,17.45,33.96,6.33
262,2022-10-12 14:30:01,-30.4,13.0,685.55,20.34,37.94,6.8
263,2022-10-12 14:35:01,-30.6,12.8,704.45,13.52,36.47,4.62
264,2022-10-12 14:40:01,-30.8,12.8,712.64,2.8,36.26,7.37
265,2022-10-12 14:45:01,-30.6,12.8,708.55,3.98,33.8,7.17
266,2022-10-12 14:50:01,-30.6,12.8,708.64,13.89,32.31,7.02
267,2022-10-12 14:55:01,-30.7,12.8,708.55,9.74,34.78,7.22
268,2022-10-12 15:00:01,-30.7,12.9,719.45,13.49,36.66,6.9
269,2022-10-12 15:05:01,-30.6,12.6,720.82,17.91,36.61,6.5
270,2022-10-12 15:10:01,-30.9,12.5,708.73,12.25,35.92,7.05
271,2022-10-12 15:15:01,-30.7,12.6,701.09,12.67,34.86,6.72
272,2022-10-12 15:20:01,-30.6,12.8,705.36,10.14,36.59,6.58
273,2022-10-12 15:25:01,-30.6,12.6,704.64,8.33,33.13,6.65
274,2022-10-12 15:30:01,-30.9,12.5,698.64,15.16,38.08,6.82
275,2022-10-12 15:35:02,-30.6,12.7,701.27,14.8,34.92,7.64
276,2022-10-12 15:40:01,-30.7,12.6,712.55,8.53,30.79,7.19
277,2022-10-12 15:45:01,-30.7,12.7,704.45,7.65,35.6,6.97
278,2022-10-12 15:50:01,-30.6,12.8,692.64,24.06,28.41,6.97
279,2022-10-12 15:55:01,-30.6,12.8,698.55,12.89,38.12,6.58
280,2022-10-12 16:00:01,-30.6,12.5,694.0,17.72,38.03,6.58
281,2022-10-12 16:05:01,-30.6,12.5,694.09,22.67,38.0,7.12
282,2022-10-12 16:10:01,-30.7,12.7,698.27,23.16,37.76,6.95
283,2022-10-12 16:15:02,-30.8,12.5,712.55,60.04,35.89,6.53
284,2022-10-12 16:20:02,-30.8,12.6,702.0,13.61,32.54,6.9
285,2022-10-12 16:25:01,-30.7,12.6,708.91,9.28,32.0,6.58
286,2022-10-12 16:30:02,-30.8,12.6,701.0,11.5,30.54,6.87
287,2022-10-12 16:35:01,-30.7,12.4,702.36,22.32,31.46,7.0
288,2022-10-12 16:40:01,-30.7,12.4,702.45,10.27,13.35,7.15
